ID,馬名,性別,年齢,父,馬体重,オークション日,落札価格,落札時賞金,現在賞金,ROI,リンク,病歴,繁殖
760,ホワイトヘッド,牡,9,ダンカーク,545,2025-09-04,1310000,44335000,0,-3384.4,https://auction.keiba.rakuten.co.jp/item/14907,,
1413,ピースマッチング,セ,6,スウェプトオーヴァーボード,473,2024-12-26,1310000,26530000,0,-2025.2,https://auction.keiba.rakuten.co.jp/item/13568,感冒 / 跛行,
496,ジオパークコハク,牝,3,シニスターミニスター,490,2025-08-07,1310000,2200000,2448000,18.9,https://auction.keiba.rakuten.co.jp/item/14632,蕁麻疹,
2576,ウインデイブレイク,牡,3,ベンバトル,512,2026-02-15,1310000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15663,骨瘤,
2292,マティアス,牡,7,サウスヴィグラス,499,2024-12-05,1310000,57205000,0,-4366.8,https://auction.keiba.rakuten.co.jp/item/13462,感冒 / 骨折 / 鼻出血,
977,ザセンチュリー,牡,3,シニスターミニスター,502,2025-05-15,1310000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14126,骨折,
1496,ゲンブ,セ,4,モーニン,488,2025-01-23,1310000,3390000,0,-258.8,https://auction.keiba.rakuten.co.jp/item/13651,,
1548,ジャガンナート,牡,5,キタサンブラック,501,2025-02-06,1310000,3438000,0,-262.4,https://auction.keiba.rakuten.co.jp/item/13703,喉鳴り / 旋回癖,
130,リグレイアー,牝,5,タリスマニック,496,2025-10-23,1310000,11950000,0,-912.2,https://auction.keiba.rakuten.co.jp/item/15192,,
2547,シルバークラフト,牝,3,コパノリッキー,510,2026-02-22,1310000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15702,骨折,
2418,ビップレーヌ,牝,4,リアルインパクト,478,2025-12-25,1310000,17260000,0,-1317.6,https://auction.keiba.rakuten.co.jp/item/15517,さく癖,
1183,タイニービキニ,牝,3,トーセンラー,416,2025-06-22,1310000,1800000,0,-137.4,https://auction.keiba.rakuten.co.jp/item/14336,,
1807,テリオスミナ,牝,3,サンダースノー,412,2025-04-10,1310000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13970,,
1122,ヤサカエトワール,牝,3,イスラボニータ,506,2025-06-12,1300000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14274,,
2438,エリオット,牡,7,サウスヴィグラス,542,,1300000,22670000,0,-1743.8,https://auction.keiba.rakuten.co.jp/item/14195,跛行 / 骨折 / 骨片,
634,アトラーレ,牝,3,リアルスティール,424,2025-08-24,1300000,0,800000,61.5,https://auction.keiba.rakuten.co.jp/item/14777,,
2107,ウエスタンイヴ,牝,13,エンパイアメーカー,500,2024-10-31,1300000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13275,,○
1160,モズボーン,牝,3,モズアスコット,426,2025-06-19,1300000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14312,,
1691,ピンクリボンの22,牝,3,エスポワールシチー,422,2025-03-20,1300000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13851,,
480,ヒロニャン,牡,3,ワールドエース,510,2025-08-07,1300000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14616,,
1014,ビビデバビデブー,牡,3,サトノダイヤモンド,438,2025-05-22,1300000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14163,さく癖,
669,ジーナアクトレス,牝,3,ニューイヤーズデイ,474,2025-08-28,1290000,245000,0,-19.0,https://auction.keiba.rakuten.co.jp/item/14813,炎症 / 鼻出血,
2448,ウールワース,牝,4,ブリックスアンドモルタル,434,2026-01-08,1290000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15537,骨折 / 骨片,
2536,ルクスディライト,牝,4,モズアスコット,418,2026-02-05,1290000,6540000,6540000,0.0,https://auction.keiba.rakuten.co.jp/item/15628,,
2566,フーレイ,牝,7,ビッグアーサー,470,2026-02-12,1290000,7927000,0,-614.5,https://auction.keiba.rakuten.co.jp/item/15653,,
